,ProdTaken,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisited,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisited,Designation,Age,DurationOfPitch,MonthlyIncome
22,0,Self Enquiry,1,Salaried,Female,2,3.0,Standard,4.0,Unmarried,1.0,0,3,1,0.0,Senior Manager,34.0,13.0,26994.0
23,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Single,2.0,0,3,1,1.0,Executive,24.0,21.0,17311.7
24,1,Self Enquiry,1,Small Business,Male,2,3.0,Basic,5.0,Single,3.0,0,2,1,1.0,Executive,34.0,12.0,17960.0
25,0,Self Enquiry,1,Salaried,Female,2,3.0,King,3.0,Married,5.0,0,5,0,1.0,VP,53.0,11.0,34094.0
26,1,Company Invited,1,Salaried,Female,3,5.0,Basic,5.0,Single,2.0,1,4,1,2.0,Executive,36.0,22.0,22347.0
27,0,Self Enquiry,3,Small Business,Male,2,3.0,Deluxe,4.0,Divorced,1.0,0,3,0,1.0,Manager,42.0,14.0,21825.0
28,0,Self Enquiry,1,Small Business,Female,2,4.0,Standard,3.0,Divorced,4.0,0,4,1,0.0,Senior Manager,44.0,13.0,25248.0
29,0,Self Enquiry,3,Small Business,Female,2,3.0,King,5.0,Single,4.0,0,2,0,1.0,VP,46.0,8.0,33947.0
30,0,Self Enquiry,1,Small Business,Male,3,3.0,Basic,3.0,Single,5.0,0,3,1,2.0,Executive,33.0,8.0,17496.0
31,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,3.0,Divorced,3.0,1,3,1,1.0,Manager,44.0,16.0,21465.0
32,0,Self Enquiry,1,Small Business,Male,2,4.0,Basic,3.0,Single,2.0,0,4,1,1.0,Executive,30.0,15.0,17311.7
33,1,Self Enquiry,3,Large Business,Male,2,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,1.0,Manager,39.0,11.0,17311.7
34,1,Self Enquiry,1,Small Business,Male,3,3.0,Basic,3.0,Divorced,3.0,1,3,1,2.0,Executive,24.0,6.0,17311.7
35,0,Self Enquiry,1,Small Business,Female,3,2.0,Basic,3.0,Married,2.0,0,2,0,1.0,Executive,43.0,8.0,17645.0
36,1,Self Enquiry,3,Small Business,Male,2,4.0,Basic,3.0,Divorced,2.0,1,4,0,0.0,Executive,50.0,9.0,17683.0
37,0,Self Enquiry,3,Small Business,Female,3,3.0,Basic,3.0,Divorced,2.0,0,2,1,0.0,Executive,35.0,8.0,17311.7
38,0,Self Enquiry,1,Salaried,Female,2,4.0,Basic,,Divorced,1.0,1,2,1,0.0,Executive,36.0,11.0,34632.85
39,0,Company Invited,3,Salaried,Female,2,2.0,Deluxe,5.0,Divorced,3.0,0,3,1,0.0,Manager,33.0,6.0,20376.0
40,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Married,2.0,0,4,0,0.0,Executive,35.0,10.0,17311.7
41,0,Self Enquiry,1,Salaried,Female,2,3.0,Basic,5.0,Married,2.0,0,3,0,1.0,Executive,27.0,8.0,17341.0
42,1,Self Enquiry,1,Salaried,Male,2,5.0,Basic,3.0,Single,2.0,0,2,1,1.0,Executive,26.0,31.0,17311.7
43,0,Company Invited,3,Salaried,Male,2,3.0,Standard,3.0,Unmarried,2.0,0,2,1,0.0,Senior Manager,27.0,14.0,23726.0
44,0,Company Invited,1,Small Business,Female,2,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,36.0,6.0,22347.0
45,1,Self Enquiry,1,Large Business,Female,2,3.0,King,3.0,Divorced,2.0,0,4,1,0.0,VP,41.0,18.0,34545.0
46,0,Company Invited,3,Small Business,Male,3,3.0,Deluxe,3.0,Single,1.0,0,5,1,1.0,Manager,34.0,13.0,19568.0
47,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,4.0,Divorced,5.0,0,4,1,1.0,Executive,37.0,25.0,18022.0
48,0,Company Invited,3,Small Business,Male,3,3.0,Deluxe,3.0,Single,5.0,1,5,1,1.0,Manager,46.0,11.0,20772.0
49,0,Self Enquiry,1,Salaried,Male,2,2.0,Basic,3.0,Divorced,2.0,0,5,1,1.0,Executive,35.0,14.0,17311.7
50,1,Self Enquiry,1,Salaried,Male,3,4.0,Standard,3.0,Single,1.0,1,5,0,2.0,Senior Manager,48.0,6.0,20381.0
51,1,Self Enquiry,1,Large Business,Male,2,3.0,Basic,3.0,Single,2.0,1,2,1,0.0,Executive,36.0,11.0,18441.0
52,0,Self Enquiry,3,Small Business,Female,3,3.0,Deluxe,5.0,Married,6.0,1,2,0,0.0,Manager,44.0,6.0,20454.0
53,0,Company Invited,1,Small Business,Male,3,4.0,Standard,5.0,Divorced,3.0,1,5,1,1.0,Senior Manager,35.0,17.0,24884.0
54,0,Self Enquiry,3,Small Business,Female,2,4.0,Deluxe,3.0,Divorced,1.0,1,2,1,0.0,Manager,36.0,29.0,22347.0
55,0,Company Invited,1,Salaried,Female,3,3.0,Standard,3.0,Unmarried,2.0,1,2,1,0.0,Senior Manager,33.0,6.0,28458.0
56,0,Company Invited,3,Salaried,Male,3,3.0,Standard,5.0,Divorced,2.0,0,4,1,0.0,Senior Manager,35.0,24.0,24069.0
57,0,Self Enquiry,1,Small Business,Female,1,3.0,Basic,5.0,Divorced,4.0,1,4,1,0.0,Executive,36.0,29.0,22347.0
58,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,3.0,Married,4.0,0,3,1,0.0,Manager,31.0,13.0,20915.0
59,0,Self Enquiry,1,Salaried,Male,2,4.0,Deluxe,3.0,Married,2.0,0,5,1,1.0,Manager,37.0,6.0,20993.0
60,0,Self Enquiry,1,Small Business,Male,2,3.0,Deluxe,3.0,Divorced,2.0,1,4,1,0.0,Manager,32.0,6.0,21162.0
61,0,Company Invited,1,Salaried,Female,2,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,38.0,32.0,17406.0
62,0,Self Enquiry,1,Small Business,Female,2,4.0,King,3.0,Married,6.0,1,4,1,1.0,VP,50.0,13.0,33740.0
63,0,Self Enquiry,3,Salaried,Female,2,3.0,Standard,5.0,Unmarried,1.0,0,3,1,0.0,Senior Manager,55.0,31.0,22637.0
64,0,Self Enquiry,1,Large Business,Female,2,3.0,Standard,3.0,Married,2.0,0,4,1,1.0,Senior Manager,36.0,14.0,25096.0
65,0,Self Enquiry,1,Small Business,Female,2,3.0,Super Deluxe,3.0,Married,3.0,1,3,0,1.0,AVP,55.0,14.0,29756.0
66,0,Company Invited,1,Salaried,Male,3,4.0,Deluxe,4.0,Unmarried,2.0,0,4,1,1.0,Manager,36.0,17.0,21499.0
67,0,Self Enquiry,1,Salaried,Male,2,3.0,Standard,5.0,Married,3.0,0,3,1,1.0,Senior Manager,45.0,13.0,24724.0
68,0,Company Invited,1,Small Business,Male,3,3.0,Basic,5.0,Divorced,5.0,0,2,0,1.0,Executive,35.0,6.0,17311.7
69,1,Self Enquiry,1,Small Business,Male,3,4.0,Basic,3.0,Divorced,1.0,1,2,0,1.0,Executive,36.0,15.0,18388.0
70,0,Company Invited,3,Salaried,Female,2,4.0,Deluxe,3.0,Single,1.0,0,5,1,1.0,Manager,55.0,6.0,20473.0
71,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,4.0,Divorced,1.0,0,4,0,0.0,Executive,29.0,8.0,17703.0
72,0,Self Enquiry,1,Small Business,Male,2,3.0,Basic,4.0,Single,2.0,0,3,0,0.0,Executive,31.0,6.0,17501.0
73,0,Self Enquiry,1,Salaried,Male,3,3.0,Deluxe,4.0,Divorced,2.0,0,3,0,0.0,Manager,32.0,6.0,21220.0
74,0,Self Enquiry,1,Salaried,Female,2,2.0,Deluxe,3.0,Divorced,4.0,0,2,0,0.0,Manager,36.0,12.0,18038.0
75,0,Self Enquiry,1,Salaried,Female,3,3.0,Deluxe,3.0,Single,2.0,0,5,0,1.0,Manager,31.0,13.0,22347.0
76,0,Self Enquiry,3,Small Business,Male,2,4.0,Deluxe,5.0,Single,1.0,0,2,0,1.0,Manager,35.0,13.0,22347.0
77,0,Self Enquiry,1,Salaried,Male,2,3.0,Standard,5.0,Divorced,5.0,1,3,0,0.0,Senior Manager,45.0,12.0,28245.0
78,0,Self Enquiry,1,Small Business,Male,1,3.0,Standard,3.0,Single,5.0,0,2,0,0.0,Senior Manager,37.0,13.0,28664.0
79,0,Self Enquiry,2,Small Business,Male,3,,Deluxe,4.0,Married,1.0,1,5,0,1.0,Manager,46.0,11.0,20021.0
80,0,Self Enquiry,1,Salaried,Male,2,4.0,Deluxe,3.0,Divorced,2.0,1,2,1,1.0,Manager,30.0,6.0,20126.0
81,0,Self Enquiry,1,Small Business,Male,1,4.0,Basic,3.0,Single,2.0,0,4,1,0.0,Executive,35.0,6.0,17859.0
82,0,Self Enquiry,3,Salaried,Male,3,3.0,Standard,3.0,Divorced,4.0,0,2,0,1.0,Senior Manager,55.0,6.0,25239.0
83,0,Company Invited,1,Small Business,Female,3,5.0,Deluxe,3.0,Married,1.0,1,2,0,2.0,Manager,38.0,12.0,20329.0
84,0,Self Enquiry,1,Small Business,Male,3,3.0,Deluxe,4.0,Divorced,2.0,0,5,0,0.0,Manager,34.0,13.0,22347.0
85,0,Self Enquiry,1,Salaried,Male,2,5.0,Standard,3.0,Unmarried,5.0,0,2,0,0.0,Senior Manager,55.0,13.0,22260.0
86,0,Self Enquiry,3,Large Business,Male,3,3.0,Basic,5.0,Married,4.0,0,3,1,1.0,Executive,24.0,8.0,17322.0
87,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Divorced,4.0,0,3,1,0.0,Executive,51.0,15.0,17311.7
88,0,Self Enquiry,1,Salaried,Male,2,4.0,Deluxe,3.0,Divorced,2.0,0,4,1,0.0,Manager,36.0,8.0,22347.0
89,1,Self Enquiry,3,Small Business,Male,3,4.0,Standard,3.0,Unmarried,2.0,0,5,0,1.0,Senior Manager,46.0,15.0,24619.0
90,0,Company Invited,1,Salaried,Male,3,4.0,Super Deluxe,4.0,Divorced,2.0,0,2,1,2.0,AVP,40.0,6.0,28503.0
91,0,Self Enquiry,3,Small Business,Male,3,3.0,Deluxe,3.0,Single,1.0,1,5,1,1.0,Manager,51.0,27.0,20441.0
92,0,Self Enquiry,3,Small Business,Female,3,4.0,Deluxe,4.0,Married,2.0,1,3,1,1.0,Manager,30.0,10.0,20209.0
93,0,Company Invited,1,Small Business,Male,2,4.0,Standard,5.0,Divorced,3.0,1,2,1,1.0,Senior Manager,46.0,6.0,25673.0
94,0,Self Enquiry,3,Small Business,Male,2,,Deluxe,3.0,Single,2.0,0,5,1,0.0,Manager,32.0,12.0,20010.0
95,0,Self Enquiry,1,Large Business,Female,2,3.0,Standard,3.0,Divorced,1.0,0,4,1,0.0,Senior Manager,54.0,8.0,28549.0
96,0,Self Enquiry,3,Salaried,Female,2,,Deluxe,3.0,Divorced,1.0,0,4,1,0.0,Manager,24.0,9.0,19999.0
97,0,Company Invited,3,Small Business,Male,2,3.0,Deluxe,3.0,Divorced,2.0,0,2,1,0.0,Manager,36.0,10.0,22347.0
98,0,Self Enquiry,3,Small Business,Male,2,3.0,Super Deluxe,3.0,Single,1.0,0,3,1,1.0,AVP,55.0,16.0,28872.0
99,0,Company Invited,1,Small Business,Male,3,3.0,Deluxe,4.0,Divorced,5.0,0,3,1,0.0,Manager,44.0,29.0,17311.7
100,1,Self Enquiry,2,Salaried,Male,3,3.0,Basic,5.0,Married,5.0,1,2,1,0.0,Executive,37.0,12.0,17311.7
101,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,5.0,Single,2.0,0,2,0,2.0,Executive,32.0,6.0,17956.0
102,1,Company Invited,1,Salaried,Female,3,4.0,Basic,3.0,Single,2.0,1,2,1,1.0,Executive,24.0,12.0,17926.0
103,0,Self Enquiry,1,Salaried,Female,2,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,34.0,13.0,19809.0
104,0,Company Invited,1,Salaried,Male,3,4.0,Deluxe,3.0,Married,6.0,0,2,0,1.0,Manager,37.0,8.0,20163.0
105,0,Company Invited,2,Salaried,Female,2,4.0,King,3.0,Divorced,1.0,0,2,1,1.0,VP,55.0,8.0,33844.0
106,0,Company Invited,1,Salaried,Female,3,3.0,King,4.0,Divorced,4.0,1,2,0,2.0,VP,50.0,6.0,33172.0
107,1,Self Enquiry,3,Small Business,Male,2,4.0,Deluxe,3.0,Single,2.0,1,3,1,0.0,Manager,25.0,11.0,20744.0
108,0,Self Enquiry,1,Small Business,Male,3,4.0,Basic,3.0,Divorced,2.0,0,2,1,2.0,Executive,25.0,13.0,17889.0
109,0,Self Enquiry,1,Small Business,Female,2,3.0,Basic,3.0,Single,2.0,0,2,1,1.0,Executive,24.0,21.0,17871.0
110,0,Company Invited,1,Small Business,Female,1,4.0,Standard,5.0,Unmarried,4.0,0,2,1,0.0,Senior Manager,51.0,6.0,22484.0
111,1,Company Invited,1,Salaried,Male,3,5.0,Deluxe,3.0,Single,2.0,1,5,1,1.0,Manager,34.0,13.0,21074.0
112,0,Company Invited,2,Salaried,Female,1,2.0,Super Deluxe,3.0,Single,3.0,1,3,1,0.0,AVP,54.0,32.0,32328.0
113,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Divorced,1.0,0,4,1,0.0,Executive,24.0,24.0,17774.0
114,0,Self Enquiry,1,Salaried,Female,2,4.0,Deluxe,4.0,Married,7.0,0,3,0,1.0,Manager,34.0,13.0,19505.0
115,0,Self Enquiry,3,Salaried,Male,2,3.0,Standard,3.0,Unmarried,3.0,0,3,0,0.0,Senior Manager,37.0,9.0,22428.0
116,0,Self Enquiry,1,Small Business,Female,2,4.0,Standard,5.0,Unmarried,3.0,0,2,0,0.0,Senior Manager,34.0,11.0,26631.0
117,0,Company Invited,3,Large Business,Female,3,3.0,Standard,3.0,Divorced,1.0,0,5,0,0.0,Senior Manager,36.0,17.0,24738.0
118,0,Self Enquiry,1,Salaried,Female,2,3.0,Basic,3.0,Married,6.0,0,2,1,0.0,Executive,36.0,9.0,17835.0
119,0,Company Invited,3,Salaried,Male,3,3.0,Super Deluxe,3.0,Divorced,2.0,1,2,0,0.0,AVP,43.0,32.0,31959.0
120,0,Company Invited,1,Salaried,Male,3,5.0,Basic,3.0,Married,2.0,0,3,1,2.0,Executive,30.0,29.0,17613.0
121,0,Company Invited,3,Small Business,Male,3,3.0,Deluxe,4.0,Divorced,1.0,0,2,0,1.0,Manager,33.0,28.0,21146.0
122,1,Self Enquiry,1,Salaried,Female,3,,Basic,4.0,Divorced,1.0,1,5,1,1.0,Executive,55.0,20.0,19963.0
123,0,Self Enquiry,1,Salaried,Male,2,3.0,King,3.0,Single,1.0,0,5,1,0.0,VP,51.0,12.0,34537.0
124,1,Self Enquiry,3,Salaried,Male,3,5.0,Deluxe,3.0,Divorced,5.0,1,3,1,1.0,Manager,31.0,12.0,21172.0
125,0,Self Enquiry,1,Salaried,Female,2,4.0,Basic,4.0,Divorced,2.0,0,3,1,0.0,Executive,26.0,12.0,17368.0
126,1,Self Enquiry,1,Small Business,Female,3,3.0,Standard,3.0,Divorced,2.0,0,3,1,0.0,Senior Manager,55.0,29.0,25312.0
127,1,Self Enquiry,3,Small Business,Male,2,3.0,Basic,3.0,Single,2.0,1,2,0,1.0,Executive,24.0,28.0,17311.7
128,0,Self Enquiry,1,Large Business,Male,3,3.0,Basic,3.0,Divorced,1.0,0,5,1,2.0,Executive,24.0,8.0,17523.0
129,0,Self Enquiry,1,Small Business,Female,3,3.0,Deluxe,5.0,Divorced,2.0,0,2,1,2.0,Manager,49.0,26.0,21567.0
130,0,Company Invited,1,Small Business,Female,3,2.0,Basic,3.0,Single,5.0,0,3,0,2.0,Executive,43.0,13.0,19739.0
131,0,Company Invited,3,Small Business,Female,3,3.0,Standard,3.0,Unmarried,5.0,0,5,0,0.0,Senior Manager,50.0,18.0,24208.0
132,1,Self Enquiry,3,Salaried,Female,3,5.0,Deluxe,3.0,Divorced,4.0,1,3,1,0.0,Manager,31.0,13.0,19559.0
133,0,Self Enquiry,3,Salaried,Male,3,3.0,Standard,3.0,Married,4.0,1,2,0,1.0,Senior Manager,41.0,15.0,23189.0
134,0,Self Enquiry,2,Salaried,Female,3,3.0,Basic,3.0,Divorced,2.0,0,4,1,0.0,Executive,26.0,31.0,17942.0
135,0,Self Enquiry,1,Small Business,Male,2,,Deluxe,4.0,Married,7.0,0,4,1,1.0,Manager,36.0,12.0,19941.0
136,1,Company Invited,1,Salaried,Male,2,5.0,Standard,3.0,Unmarried,3.0,0,2,0,1.0,Senior Manager,51.0,14.0,25650.0
137,0,Self Enquiry,3,Salaried,Female,2,4.0,Deluxe,3.0,Divorced,5.0,0,5,1,0.0,Manager,39.0,10.0,20902.0
138,0,Self Enquiry,3,Salaried,Male,2,4.0,Deluxe,3.0,Divorced,3.0,0,4,0,0.0,Manager,25.0,32.0,23639.0
139,0,Self Enquiry,2,Salaried,Male,2,3.0,Deluxe,3.0,Divorced,1.0,1,3,1,1.0,Manager,30.0,15.0,21347.0
140,1,Self Enquiry,1,Small Business,Female,2,3.0,Basic,5.0,Single,1.0,0,4,1,1.0,Executive,36.0,15.0,22347.0
141,0,Self Enquiry,1,Small Business,Male,2,3.0,Basic,3.0,Single,6.0,0,2,1,0.0,Executive,36.0,32.0,18452.0
142,0,Self Enquiry,1,Large Business,Female,2,3.0,Deluxe,3.0,Single,4.0,1,5,0,0.0,Manager,38.0,9.0,17311.7
143,0,Self Enquiry,1,Salaried,Female,3,3.0,Basic,3.0,Single,2.0,0,2,1,0.0,Executive,30.0,24.0,17632.0
144,0,Company Invited,3,Small Business,Male,2,5.0,Deluxe,3.0,Married,1.0,0,2,0,1.0,Manager,32.0,13.0,19668.0
145,0,Self Enquiry,1,Large Business,Female,2,3.0,Basic,5.0,Married,6.0,0,5,1,1.0,Executive,30.0,11.0,18204.0
146,0,Self Enquiry,1,Small Business,Male,2,4.0,Basic,3.0,Single,1.0,0,4,0,0.0,Executive,30.0,8.0,17720.0
147,0,Company Invited,1,Salaried,Male,3,4.0,Super Deluxe,5.0,Married,5.0,0,2,1,0.0,AVP,41.0,16.0,32181.0
148,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,5.0,Divorced,3.0,0,2,0,2.0,Executive,41.0,15.0,17311.7
149,0,Self Enquiry,1,Small Business,Female,3,3.0,Basic,4.0,Single,2.0,0,3,1,2.0,Executive,24.0,9.0,17311.7
150,0,Company Invited,1,Small Business,Female,2,3.0,Deluxe,4.0,Married,2.0,0,2,1,0.0,Manager,40.0,32.0,20605.0
151,0,Self Enquiry,3,Small Business,Male,3,3.0,Standard,4.0,Divorced,2.0,0,4,1,2.0,Senior Manager,35.0,6.0,22295.0
152,0,Self Enquiry,3,Small Business,Male,2,3.0,Deluxe,3.0,Divorced,3.0,1,5,0,0.0,Manager,53.0,12.0,17311.7
153,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,4.0,Married,1.0,0,4,1,0.0,Manager,45.0,15.0,17348.0
154,0,Company Invited,3,Small Business,Female,2,3.0,Standard,3.0,Unmarried,2.0,0,4,1,1.0,Senior Manager,32.0,14.0,23998.0
155,0,Company Invited,1,Large Business,Male,2,3.0,Deluxe,3.0,Divorced,2.0,0,3,0,1.0,Manager,29.0,13.0,22347.0
156,0,Self Enquiry,1,Small Business,Male,2,4.0,Deluxe,3.0,Divorced,3.0,0,3,1,1.0,Manager,51.0,13.0,21132.0
157,0,Self Enquiry,1,Small Business,Female,3,4.0,Basic,4.0,Divorced,5.0,1,2,1,0.0,Executive,55.0,15.0,18346.0
158,0,Self Enquiry,3,Small Business,Male,3,4.0,Standard,3.0,Divorced,1.0,0,2,1,0.0,Senior Manager,40.0,10.0,25855.0
159,0,Company Invited,3,Small Business,Female,3,3.0,Basic,3.0,Divorced,7.0,0,5,1,2.0,Executive,34.0,8.0,17311.7
160,0,Self Enquiry,1,Small Business,Male,3,3.0,Basic,3.0,Divorced,2.0,0,2,0,1.0,Executive,24.0,25.0,17323.0
161,0,Company Invited,1,Small Business,Male,2,3.0,Basic,4.0,Married,7.0,0,3,0,0.0,Executive,27.0,15.0,17311.7
162,0,Self Enquiry,1,Small Business,Male,2,3.0,Basic,3.0,Divorced,2.0,0,2,0,0.0,Executive,28.0,27.0,17713.0
163,0,Self Enquiry,1,Salaried,Male,2,2.0,Standard,3.0,Married,4.0,1,4,1,1.0,Senior Manager,55.0,30.0,24439.0
164,0,Company Invited,1,Small Business,Male,3,4.0,Basic,3.0,Married,2.0,1,2,0,2.0,Executive,27.0,9.0,17566.0
165,0,Self Enquiry,1,Salaried,Female,2,3.0,King,4.0,Single,4.0,0,5,1,,VP,50.0,17.0,34632.85
166,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Married,5.0,0,4,1,1.0,Executive,41.0,20.0,17451.0
167,0,Self Enquiry,3,Salaried,Female,2,3.0,Standard,3.0,Divorced,3.0,0,4,1,1.0,Senior Manager,30.0,11.0,24419.0
168,0,Self Enquiry,3,Salaried,Female,2,4.0,Deluxe,3.0,Unmarried,5.0,0,2,1,1.0,Manager,38.0,6.0,23686.0
169,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Single,4.0,0,2,0,1.0,Executive,32.0,12.0,18038.0
170,0,Self Enquiry,1,Large Business,Male,2,3.0,Basic,4.0,Divorced,1.0,1,4,1,0.0,Executive,27.0,23.0,18058.0
171,1,Company Invited,3,Large Business,Female,3,5.0,Basic,5.0,Single,1.0,0,3,1,1.0,Executive,24.0,6.0,17325.0
172,0,Company Invited,1,Small Business,Male,1,3.0,Basic,4.0,Single,5.0,0,4,1,0.0,Executive,36.0,9.0,17311.7
173,0,Company Invited,1,Small Business,Male,3,3.0,Deluxe,5.0,Married,2.0,0,2,0,1.0,Manager,30.0,15.0,18072.0
174,0,Self Enquiry,3,Salaried,Female,1,,Deluxe,5.0,Married,5.0,1,4,0,0.0,Manager,45.0,10.0,20006.0
175,0,Self Enquiry,1,Salaried,Female,3,3.0,Basic,5.0,Married,5.0,1,4,1,1.0,Executive,55.0,13.0,22347.0
176,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Single,1.0,0,3,0,1.0,Executive,33.0,8.0,17500.0
177,1,Self Enquiry,1,Salaried,Male,2,4.0,Basic,3.0,Single,2.0,0,5,0,0.0,Executive,24.0,8.0,17311.7
178,0,Self Enquiry,3,Small Business,Female,3,3.0,Standard,5.0,Married,2.0,0,2,1,1.0,Senior Manager,46.0,6.0,25453.0
179,0,Self Enquiry,1,Salaried,Female,3,3.0,Basic,3.0,Single,2.0,0,2,1,1.0,Executive,38.0,15.0,17311.7
180,0,Self Enquiry,1,Small Business,Female,3,3.0,Basic,3.0,Divorced,1.0,1,4,1,2.0,Executive,36.0,18.0,22347.0
181,0,Self Enquiry,1,Small Business,Female,3,3.0,Basic,4.0,Single,3.0,0,3,1,0.0,Executive,34.0,32.0,17311.7
182,1,Self Enquiry,3,Small Business,Female,3,3.0,Basic,4.0,Single,2.0,1,4,0,2.0,Executive,41.0,26.0,18140.0
183,0,Self Enquiry,1,Small Business,Male,2,4.0,Basic,3.0,Divorced,3.0,0,3,0,0.0,Executive,36.0,6.0,18690.0
184,0,Self Enquiry,1,Small Business,Female,2,2.0,Deluxe,5.0,Married,2.0,0,2,1,1.0,Manager,53.0,13.0,22347.0
185,0,Self Enquiry,1,Small Business,Female,3,3.0,Basic,4.0,Divorced,2.0,0,5,0,0.0,Executive,33.0,20.0,17756.0
186,0,Self Enquiry,1,Small Business,Female,2,3.0,King,3.0,Divorced,2.0,0,5,0,1.0,VP,40.0,10.0,34033.0
187,0,Self Enquiry,1,Small Business,Male,3,2.0,King,4.0,Single,1.0,0,2,0,2.0,VP,55.0,20.0,33722.0
188,0,Company Invited,1,Salaried,Male,2,4.0,Deluxe,3.0,Divorced,2.0,0,4,0,0.0,Manager,34.0,8.0,24547.0
189,0,Self Enquiry,1,Small Business,Female,3,3.0,Super Deluxe,4.0,Single,4.0,0,5,0,1.0,AVP,51.0,9.0,28734.0
190,0,Self Enquiry,1,Salaried,Male,3,4.0,King,3.0,Divorced,1.0,0,2,1,,VP,52.0,6.0,34632.85
